folder,doi
01_Classical_ML_QSAR,10.1021/ja01062a035
01_Classical_ML_QSAR,10.1021/ci100050t
01_Classical_ML_QSAR,10.1023/A:1010933404324
01_Classical_ML_QSAR,10.1021/ci034160g
01_Classical_ML_QSAR,10.1007/BF00994018
01_Classical_ML_QSAR,10.1039/C7SC02664A
01_Classical_ML_QSAR,10.1021/ci400084k
01_Classical_ML_QSAR,10.1002/minf.201000061
02_Deep_Learning_Drug_Discovery,10.1016/j.drudis.2018.01.039
02_Deep_Learning_Drug_Discovery,10.3389/fenvs.2015.00080
02_Deep_Learning_Drug_Discovery,10.1016/j.cell.2020.01.021
02_Deep_Learning_Drug_Discovery,10.48550/arXiv.1510.02855
02_Deep_Learning_Drug_Discovery,10.1186/s13321-017-0232-0
02_Deep_Learning_Drug_Discovery,10.48550/arXiv.1502.02072
02_Deep_Learning_Drug_Discovery,10.1162/neco.1997.9.8.1735
03_Graph_Neural_Networks,10.1021/acs.jcim.9b00237
03_Graph_Neural_Networks,10.1021/acs.jmedchem.9b00959
03_Graph_Neural_Networks,10.1093/bioinformatics/btaa921
03_Graph_Neural_Networks,10.1007/s10822-016-9938-8
03_Graph_Neural_Networks,10.1016/j.ddtec.2020.11.009
04_Generative_AI_Molecular_Design,10.1021/acscentsci.7b00572
04_Generative_AI_Molecular_Design,10.48550/arXiv.1805.11973
04_Generative_AI_Molecular_Design,10.1186/s13321-017-0235-x
04_Generative_AI_Molecular_Design,10.48550/arXiv.2210.01776
04_Generative_AI_Molecular_Design,10.1021/acs.jcim.0c00915
05_NLP_Biomedical_Text_Mining,10.1093/bioinformatics/btz682
05_NLP_Biomedical_Text_Mining,10.1145/3458754
05_NLP_Biomedical_Text_Mining,10.18653/v1/D19-1371
05_NLP_Biomedical_Text_Mining,10.1093/bib/bbac409
05_NLP_Biomedical_Text_Mining,10.48550/arXiv.2010.09885
05_NLP_Biomedical_Text_Mining,10.18653/v1/W19-5006
05_NLP_Biomedical_Text_Mining,10.1093/nar/gkx1037
06_Multi_Omics_Integration,10.15252/msb.20178124
06_Multi_Omics_Integration,10.1038/s41592-018-0229-2
06_Multi_Omics_Integration,10.1016/j.cell.2017.10.049
06_Multi_Omics_Integration,10.1038/s41586-019-1195-2
06_Multi_Omics_Integration,10.1016/j.csbj.2021.06.030
06_Multi_Omics_Integration,10.1038/s41588-022-01024-z
06_Multi_Omics_Integration,10.1038/ng.167
06_Multi_Omics_Integration,10.1093/bioinformatics/bth294
07_Target_Identification_Validation,10.1038/nrg2918
07_Target_Identification_Validation,10.1038/s41467-019-09186-x
07_Target_Identification_Validation,10.1126/science.1257601
07_Target_Identification_Validation,10.1038/nbt1338
07_Target_Identification_Validation,10.1038/nchembio.118
07_Target_Identification_Validation,10.1038/s43587-022-00335-0
07_Target_Identification_Validation,10.1093/nar/gkh061
07_Target_Identification_Validation,10.1038/s41467-021-27138-2
08_ADMET_Prediction,10.1021/ci034243x
08_ADMET_Prediction,10.1038/nchem.1243
08_ADMET_Prediction,10.1186/1758-2946-1-8
08_ADMET_Prediction,10.1038/srep42717
08_ADMET_Prediction,10.1093/bioinformatics/btae416
08_ADMET_Prediction,10.1007/s10822-011-9478-1
08_ADMET_Prediction,10.1016/S0169-409X(00)00129-0
09_Protein_Structure_Prediction,10.1038/s41586-021-03819-2
09_Protein_Structure_Prediction,10.1126/science.abj8754
09_Protein_Structure_Prediction,10.1126/science.ade2574
09_Protein_Structure_Prediction,10.1073/pnas.2016239118
09_Protein_Structure_Prediction,10.1038/s41586-023-06415-8
09_Protein_Structure_Prediction,10.1111/cbdd.12055
09_Protein_Structure_Prediction,10.1093/nar/gkab1061
09_Protein_Structure_Prediction,10.1038/s41586-019-1923-7
10_Neurodegeneration_AI,10.1186/s13195-021-00806-5
10_Neurodegeneration_AI,10.1038/s43587-023-00379-2
10_Neurodegeneration_AI,10.3233/JAD-160374
10_Neurodegeneration_AI,10.1109/TCBB.2019.2897366
10_Neurodegeneration_AI,10.1001/jama.2018.11100
10_Neurodegeneration_AI,10.1016/S1474-4422(19)30320-5
10_Neurodegeneration_AI,10.1038/ng.2802
10_Neurodegeneration_AI,10.1038/s41588-019-0358-2
11_Federated_Learning_XAI,10.1038/s41746-020-00323-1
11_Federated_Learning_XAI,10.1145/2939672.2939778
11_Federated_Learning_XAI,10.1038/s42256-020-00236-4
11_Federated_Learning_XAI,10.1109/ICCV.2017.74
11_Federated_Learning_XAI,10.1038/s41586-021-03583-3
11_Federated_Learning_XAI,10.48550/arXiv.1702.08608
12_Drug_Repurposing_Computational,10.1038/nrd.2018.168
12_Drug_Repurposing_Computational,10.1016/S2589-7500(20)30192-8
12_Drug_Repurposing_Computational,10.1038/msb.2011.26
12_Drug_Repurposing_Computational,10.1073/pnas.2025581118
12_Drug_Repurposing_Computational,10.1038/s41467-019-09799-2
12_Drug_Repurposing_Computational,10.1093/bib/bbab368
12_Drug_Repurposing_Computational,10.1073/pnas.1000138107
12_Drug_Repurposing_Computational,10.1038/s41467-018-05116-5
