folder,doi,gist,incorporation
01_Classical_ML_QSAR,10.1021/ja01062a035,"The foundational paper establishing QSAR — correlating chemical substituent constants (sigma, pi, Es) with biological activity using multilinear regression. Introduced the concept that molecular structure quantitatively predicts pharmacological effect.",Historical anchor for QSAR section; cite when introducing the concept that biological activity is a deterministic function of chemical structure.
01_Classical_ML_QSAR,10.1021/ci100050t,Describes the ECFP algorithm — hashed circular fingerprints generated from Morgan algorithm iteration. ECFP4/ECFP6 remain the most widely used molecular representations in QSAR and virtual screening to date.,Primary reference for molecular representation subsection; discuss ECFP as baseline representation against which learned GNN representations are evaluated.
01_Classical_ML_QSAR,10.1023/A:1010933404324,"Original publication of Random Forests — an ensemble method combining bagging with random feature subsets at each split. Demonstrates low bias, low variance, and intrinsic feature importance. Still a top-performing baseline in molecular property prediction.",Cite in classical ML section; use as example of ensemble methods and feature importance for QSAR interpretability.
01_Classical_ML_QSAR,10.1021/ci034160g,First systematic application of RF to drug discovery datasets; demonstrated superior performance over neural networks and SVMs on classification and QSAR tasks of the era. Validated RF as the go-to QSAR tool for the following decade.,Cite alongside Breiman (2001) as the drug discovery translation of RF methodology.
01_Classical_ML_QSAR,10.1007/BF00994018,Seminal paper introducing SVMs — maximum-margin classifiers using kernel tricks to operate in high-dimensional feature spaces. Foundation for SVM-QSAR approaches using RBF and Tanimoto kernels on molecular fingerprints.,Cite as origin of SVM methodology before discussing SVM-QSAR applications.
01_Classical_ML_QSAR,10.1039/C7SC02664A,"Introduces MoleculeNet — the largest curated benchmark suite for molecular ML, covering quantum mechanics, physical chemistry, biophysics, and physiology tasks. Systematically compared RF, SVM, graph convolutions, and deep networks; revealed task-dependent performance gaps.",Primary reference for benchmark comparisons; cite when discussing how classical ML remains competitive on physicochemical tasks.
01_Classical_ML_QSAR,10.1021/ci400084k,Demonstrates that time-based train/test splits provide significantly more realistic estimates of prospective model performance than random splitting; quantifies the magnitude of optimism introduced by random splits.,Critical citation for model evaluation methodology discussion; supports the recommendation for scaffold or temporal splits over random splits.
01_Classical_ML_QSAR,10.1002/minf.201000061,"Establishes community best practices for rigorous QSAR: Y-randomization, applicability domain assessment, external validation, and statistical criteria. Widely adopted as the standard for QSAR publication quality.",Cite when discussing QSAR validation frameworks and the applicability domain concept.
02_Deep_Learning_Drug_Discovery,10.1016/j.drudis.2018.01.039,"Comprehensive review covering CNN, RNN, VAE, GAN, and RL applications in drug discovery circa 2018. Identifies key trends: property prediction, de novo design, and synthesis planning. A widely cited entry point for deep learning in pharma.",Key review citation for the deep learning overview section; use to contextualize the trajectory from 2018 to present.
02_Deep_Learning_Drug_Discovery,10.3389/fenvs.2015.00080,Won the Tox21 Data Challenge; showed deep multi-task neural networks with chemical descriptors outperformed all other methods including RF and SVM on 12 toxicity endpoints simultaneously. Established multi-task learning as paradigm for ADMET prediction.,Landmark citation for deep learning in toxicity prediction; supports multi-task learning discussion in ADMET section.
02_Deep_Learning_Drug_Discovery,10.1016/j.cell.2020.01.021,"Used Chemprop (D-MPNN) trained on E. coli growth inhibition to screen 100M+ virtual molecules; identified halicin — a structurally novel, broad-spectrum antibiotic with activity against drug-resistant pathogens. Among the most impactful AI drug discovery demonstrations.",Premier real-world success story for GNN-based virtual screening; cite in both deep learning and GNN sections.
02_Deep_Learning_Drug_Discovery,10.48550/arXiv.1510.02855,First CNN applied to 3D molecular structures for bioactivity prediction; treated protein-ligand complexes as 3D grids and learned local structural features automatically. Outperformed Glide docking on several targets.,First reference for CNN in structure-based drug discovery; cite in CNN subsection.
02_Deep_Learning_Drug_Discovery,,"Replaced fixed circular fingerprints with differentiable convolutional operations on molecular graphs, learning task-specific molecular fingerprints. Precursor to all modern GNN approaches; defined the graph-level readout paradigm.",Historical bridge between CNN and GNN methodology; cite as the transition paper from CNNs to molecular GNNs.
02_Deep_Learning_Drug_Discovery,10.1186/s13321-017-0232-0,"Rigorous large-scale benchmark comparing DNN vs. RF, SVM, naive Bayes on ChEMBL bioactivity data; DNNs outperformed classical methods when sufficient data was available (>1000 compounds per target). Identified data size as the critical inflection point.",Cite when discussing the data-volume dependency of deep learning performance advantage.
02_Deep_Learning_Drug_Discovery,10.48550/arXiv.1502.02072,Showed that sharing representations across thousands of biological assays in a single multitask DNN substantially improves prediction on low-data targets. Foundational paper for multi-task learning in drug discovery.,Core citation for multi-task deep learning; supports the discussion of how shared representations improve data-scarce target prediction.
02_Deep_Learning_Drug_Discovery,10.1162/neco.1997.9.8.1735,Original LSTM paper — solved the vanishing gradient problem in RNNs through gated memory cells. Foundation for all sequence-based molecular generation (SMILES-based models) and protein sequence modeling discussed in Chapter 4.,Foundational citation for LSTM/RNN section; cite before discussing SMILES-based generative models.
03_Graph_Neural_Networks,,Unified 8 existing molecular GNN approaches under the MPNN framework; demonstrated near-DFT accuracy on 11 quantum chemical properties on the QM9 dataset. The canonical reference defining message passing in molecular graphs.,Primary GNN citation; cite as the framework paper that unifies message passing methodology.
03_Graph_Neural_Networks,10.1021/acs.jcim.9b00237,"Introduces D-MPNN (Chemprop) — directed bond-based message passing achieving SOTA on 19 datasets; extensive ablation studies show value of message uncertainty, atomic features, and directed messages for stereochemistry.",Primary Chemprop/D-MPNN citation; cite for ADMET prediction benchmark results in GNN section.
03_Graph_Neural_Networks,10.1021/acs.jmedchem.9b00959,"AttentiveFP integrates graph attention into MPNN, producing atom-level attention maps. Outperformed baseline GNNs and fingerprint methods on 6/8 MoleculeNet tasks. Attention maps visualize pharmacophoric features.",Cite for interpretable GNN discussion; use attention map visualization as example of built-in XAI in molecular GNNs.
03_Graph_Neural_Networks,10.1093/bioinformatics/btaa921,"Represents drug molecules as graphs (GNN encoder) and protein sequences as 1D CNNs, then combines features for affinity prediction. Outperforms DeepDTA (sequence-only) on Davis and KIBA benchmarks.",Key DTI prediction citation; cite when discussing drug-target interaction applications of GNNs.
